Company;Year;pos;neg;unc;SR;NFE;ISIN;Date_SRNFE;Date_AR;report_size_SRNFE;report_sentence_SRNFE;report_words_SRNFE;is_gri;report_size_AR;report_sentence_AR;report_words_AR;pfad
amadeus fire;2017;39;21;9;1;0;DE0005093108;2018-04-24;2018-03-26;25;1199;5711;0;25;6361;76537;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Amadeus FiRe2017_SR.pdf
amadeus fire;2018;55;22;10;1;0;DE0005093108;2018-12-06;2019-03-15;25;1287;6353;0;25;10160;88124;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Amadeus FiRe2018_SR.pdf
audi;2017;193;141;133;1;0;DE0006757008;2018-05-09;2018-03-02;88;4085;30569;1;88;25209;105723;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Audi2017_SR.pdf
audi;2018;26;30;13;1;0;DE0006757008;2019-05-22;2019-02-25;27;1284;6249;1;27;25577;104011;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Audi2018_SR.pdf
bertrandt;2016;101;58;43;1;0;DE0005232805;2016-12-07;2016-12-13;49;2828;13236;1;49;9027;42987;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Bertrandt2016_SR.pdf
bertrandt;2017;103;47;37;1;0;DE0005232805;2017-12-07;2017-12-11;47;2660;11525;1;47;9325;45470;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Bertrandt2017_SR.pdf
bertrandt;2018;138;76;65;1;0;DE0005232805;2018-12-03;2019-12-10;58;3532;20416;1;58;8882;40526;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Bertrandt2018_SR.pdf
bertrandt;2019;126;67;65;1;0;DE0005232805;2019-12-05;2020-12-08;55;3186;16287;1;55;10393;44710;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Bertrandt2019_SR.pdf
bhs tabletop;2017;47;50;24;1;0;DE0006102007;2018-02-23;2018-03-28;29;676;5609;1;29;8623;173044;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\BHS tabletop2017_SR.pdf
bhs tabletop;2018;49;56;29;1;0;DE0006102007;2019-04-30;2019-04-04;30;795;6953;1;30;8775;46797;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\BHS tabletop2018_SR.pdf
bijou brigitte;2017;30;30;10;1;0;DE0005229504;2018-04-25;2018-05-15;13;716;2912;0;13;4165;22107;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Bijou Brigitte2017_SR.pdf
bijou brigitte;2018;37;35;12;1;0;DE0005229504;2019-04-29;2019-04-30;18;728;3592;0;18;4479;27742;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Bijou Brigitte2018_SR.pdf
biotest;2017;95;119;57;1;0;DE0005227235;2018-05-02;2018-03-22;31;2069;10676;0;31;12635;61328;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Biotest2017_SR.pdf
biotest;2018;108;134;62;1;0;DE0005227235;2019-04-30;2019-03-27;34;2231;11656;0;34;12966;9654;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Biotest2018_SR.pdf
bvb (borussia dortmund);2017;275;195;91;1;0;DE0005493092;2017-12-21;2017-10-18;66;3078;26474;1;66;16443;147459;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\BVB (Borussia Dortmund)2017_SR.pdf
bvb (borussia dortmund);2018;336;236;135;1;0;DE0005493092;2018-10-30;2019-09-18;67;3657;35234;1;67;17538;167701;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\BVB (Borussia Dortmund)2018_SR.pdf
bvb (borussia dortmund);2019;395;276;114;1;0;DE0005493092;2019-10-29;2020-09-15;75;4718;41362;1;75;18483;162149;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\BVB (Borussia Dortmund)2019_SR.pdf
cenit;2017;71;29;24;1;0;DE0005407100;2018-04-27;2018-04-02;21;4813;5683;0;21;8507;52857;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\CENIT2017_SR.pdf
cenit;2018;71;31;25;1;0;DE0005407100;2019-04-29;2019-03-29;23;4607;5825;0;23;9207;40837;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\CENIT2018_SR.pdf
cewe;2010;152;69;35;1;0;DE0005403901;2010-09-10;2011-03-31;45;2116;10993;1;45;12846;59649;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Cewe2010_SR.pdf
cewe;2011;128;82;49;1;0;DE0005403901;2012-06-06;2012-03-21;33;2796;14846;1;33;13730;59808;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Cewe2011_SR.pdf
